date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:24	175608/175608	---M--	200	added ('OK')	text/html	etag:%222adf8-5ad602896f240%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/fonts/materialdesignicons-webfont.woff2?v=3.3.92	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/fonts/materialdesignicons-webfont1382.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/css/materialdesignicons.min.css)
22:45:24	498168/498168	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22799f8-5ad602896f240%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/fonts/materialdesignicons-webfont.eot?v=3.3.92	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/fonts/materialdesignicons-webfont1382.eot	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/css/materialdesignicons.min.css)
22:45:24	498168/498168	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22799f8-5ad602896f240%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/fonts/materialdesignicons-webfont.eot?	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/fonts/materialdesignicons-webfontd41d.eot	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/css/materialdesignicons.min.css)
22:45:26	50556/50556	---M--	200	added ('OK')	text/html	etag:%22c57c-5ad602896f240%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/fonts/ionicons.woff2?v=4.5.7	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/fonts/ionicons9a08.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/css/ionicons.css)
22:45:27	112662/112662	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b816-5ad602896f240%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/fonts/ionicons.eot?v=4.5.7	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/fonts/ionicons9a08.eot	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/css/ionicons.css)
22:45:41	65916/65916	---M--	200	added ('OK')	application/font-woff	etag:%221017c-5ad602896f240%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/fonts/ionicons.woff?v=4.5.7	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/fonts/ionicons9a08.woff	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/css/ionicons.css)
22:45:47	112484/112484	---M--	200	added ('OK')	application/font-sfnt	etag:%221b764-5ad602896f240%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/fonts/ionicons.ttf?v=4.5.7	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/fonts/ionicons9a08.ttf	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/css/ionicons.css)
22:46:25	56452/56452	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-dc84%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ad.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ad.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:26	497948/497948	---M--	200	added ('OK')	application/font-sfnt	etag:%227991c-5ad602896f240%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/fonts/materialdesignicons-webfont.ttf?v=3.3.92	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/fonts/materialdesignicons-webfont1382.ttf	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/mdi/css/materialdesignicons.min.css)
22:46:31	257/257	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-101%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ae.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ae.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:32	273/273	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-111%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/ae.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/ae.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:33	55630/55630	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-d94e%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/ad.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/ad.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:38	33813/33813	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-8415%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/af.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/af.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:39	902/902	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-386%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ag.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ag.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:39	312755/312755	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-4c5b3%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/fonts/ionicons.svg?v=4.5.7	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/fonts/ionicons9a08.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/ionicons/dist/css/ionicons.css)
